FSA,Language,Count,Year
M1M,      Japanese,35,1996
M1M,      Russian,100,1996
M1M,      Creoles,0,1996
M1M,      Dutch,0,1996
M1M,      Khmer (Cambodian),0,1996
M1M,      Ojibway,0,1996
M1M,      Romanian,45,1996
M1M,      Czech,25,1996
M1M,      Lao,0,1996
M1M,      Macedonian,150,1996
M1M,      Finnish,45,1996
M1M,      Montagnais-Naskapi,0,1996
M1M,      Hebrew,0,1996
M1M,      Yiddish,0,1996
M1M,      Serbian,25,1996
M1M,      Bengali,10,1996
M1M,      Slovak,0,1996
M1M,      Estonian,25,1996
M1M,      Turkish,25,1996
M1M,      Lithuanian,0,1996
M1M,      Latvian (Lettish),25,1996
M1M,      Micmac,0,1996
M1M,      Slovenian,0,1996
M1M,      Bulgarian,0,1996
M1M,      Serbo-Croatian,20,1996
M1M,      Dakota/Sioux,0,1996
M1M,      South Slave,0,1996
M1M,      Malay-Bahasa,0,1996
M1M,      Maltese,0,1996
M1M,      Blackfoot,0,1996
M1M,      Dogrib,0,1996
M1M,      Danish,0,1996
M1M,      Swedish,0,1996
M1M,      Malayalam,0,1996
M1M,      Thai,0,1996
M1M,      Kurdish,0,1996
M1M,      Pashto,0,1996
M1M,      Flemish,0,1996
M1M,      Chipewyan,0,1996
M1M,      Kutchin-Gwich'in (Loucheux),0,1996
M1M,      Norwegian,0,1996
M1M,      Gaelic languages,0,1996
M1M,      Tlingit,0,1996
M1M,      Other languages,110,1996
M1N,    English,19325,1996
M1N,    French,80,1996
M1N,      Chinese,645,1996
M1N,      Italian,165,1996
M1N,      Portuguese,10,1996
M1N,      Spanish,65,1996
M1N,      German,50,1996
M1N,      Polish,40,1996
M1N,      Punjabi,0,1996
M1N,      Greek,115,1996
M1N,      Vietnamese,25,1996
M1N,      Arabic,0,1996
M1N,      Cree,0,1996
M1N,      Tagalog (Pilipino),45,1996
M1N,      Ukrainian,35,1996
M1N,      Persian (Farsi),35,1996
M1N,      Korean,80,1996
M1N,      Hungarian,25,1996
M1N,      Tamil,120,1996
M1N,      Gujarati,0,1996
M1N,      Croatian,10,1996
M1N,      Armenian,0,1996
M1N,      Inuktitut (Eskimo),0,1996
M1N,      Hindi,35,1996
M1N,      Urdu,0,1996
M1N,      Japanese,10,1996
M1N,      Russian,20,1996
M1N,      Creoles,0,1996
M1N,      Dutch,20,1996
M1N,      Khmer (Cambodian),0,1996
M1N,      Ojibway,0,1996
M1N,      Romanian,15,1996
M1N,      Czech,10,1996
M1N,      Lao,0,1996
M1N,      Macedonian,55,1996
M1N,      Finnish,0,1996
M1N,      Montagnais-Naskapi,0,1996
M1N,      Hebrew,0,1996
M1N,      Yiddish,0,1996
M1N,      Serbian,25,1996
M1N,      Bengali,75,1996
M1N,      Slovak,0,1996
M1N,      Estonian,35,1996
M1N,      Turkish,0,1996
M1N,      Lithuanian,0,1996
M1N,      Latvian (Lettish),10,1996
M1N,      Micmac,0,1996
M1N,      Slovenian,10,1996
M1N,      Bulgarian,0,1996
M1N,      Serbo-Croatian,30,1996
M1N,      Dakota/Sioux,0,1996
M1N,      South Slave,0,1996
M1N,      Malay-Bahasa,0,1996
M1N,      Maltese,0,1996
M1N,      Blackfoot,0,1996
M1N,      Dogrib,0,1996
M1N,      Danish,0,1996
M1N,      Swedish,0,1996
M1N,      Malayalam,0,1996
M1N,      Thai,0,1996
M1N,      Kurdish,0,1996
M1N,      Pashto,0,1996
M1N,      Flemish,0,1996
M1N,      Chipewyan,0,1996
M1N,      Kutchin-Gwich'in (Loucheux),0,1996
M1N,      Norwegian,0,1996
M1N,      Gaelic languages,0,1996
M1N,      Tlingit,0,1996
M1N,      Other languages,70,1996
M1P,    English,20185,1996
M1P,    French,90,1996
M1P,      Chinese,1895,1996
M1P,      Italian,305,1996
M1P,      Portuguese,105,1996
M1P,      Spanish,260,1996
M1P,      German,95,1996
M1P,      Polish,290,1996
M1P,      Punjabi,80,1996
M1P,      Greek,685,1996
M1P,      Vietnamese,80,1996
M1P,      Arabic,680,1996
M1P,      Cree,0,1996
M1P,      Tagalog (Pilipino),460,1996
M1P,      Ukrainian,0,1996
M1P,      Persian (Farsi),345,1996
M1P,      Korean,170,1996
M1P,      Hungarian,55,1996
M1P,      Tamil,1675,1996
M1P,      Gujarati,540,1996
M1P,      Croatian,20,1996
M1P,      Armenian,250,1996
M1P,      Inuktitut (Eskimo),10,1996
M1P,      Hindi,170,1996
M1P,      Urdu,310,1996
M1P,      Japanese,15,1996
M1P,      Russian,20,1996
M1P,      Creoles,25,1996
M1P,      Dutch,15,1996
M1P,      Khmer (Cambodian),0,1996
M1P,      Ojibway,0,1996
M1P,      Romanian,60,1996
M1P,      Czech,25,1996
M1P,      Lao,0,1996
M1P,      Macedonian,335,1996
M1P,      Finnish,10,1996
M1P,      Montagnais-Naskapi,0,1996
M1P,      Hebrew,0,1996
M1P,      Yiddish,0,1996
M1P,      Serbian,30,1996
M1P,      Bengali,40,1996
M1P,      Slovak,0,1996
M1P,      Estonian,35,1996
M1P,      Turkish,0,1996
M1P,      Lithuanian,0,1996
M1P,      Latvian (Lettish),10,1996
M1P,      Micmac,0,1996
M1P,      Slovenian,0,1996
M1P,      Bulgarian,0,1996
M1P,      Serbo-Croatian,15,1996
M1P,      Dakota/Sioux,0,1996
M1P,      South Slave,0,1996
M1P,      Malay-Bahasa,0,1996
M1P,      Maltese,0,1996
M1P,      Blackfoot,0,1996
M1P,      Dogrib,0,1996
M1P,      Danish,0,1996
M1P,      Swedish,20,1996
M1P,      Malayalam,25,1996
M1P,      Thai,0,1996
M1P,      Kurdish,15,1996
M1P,      Pashto,15,1996
M1P,      Flemish,0,1996
M1P,      Chipewyan,0,1996
M1P,      Kutchin-Gwich'in (Loucheux),0,1996
M1P,      Norwegian,0,1996
M1P,      Gaelic languages,0,1996
M1P,      Tlingit,0,1996
M1P,      Other languages,240,1996
M1R,    English,20485,1996
M1R,    French,125,1996
M1R,      Chinese,870,1996
M1R,      Italian,525,1996
M1R,      Portuguese,125,1996
M1R,      Spanish,115,1996
M1R,      German,35,1996
M1R,      Polish,280,1996
M1R,      Punjabi,10,1996
M1R,      Greek,715,1996
M1R,      Vietnamese,50,1996
M1R,      Arabic,545,1996
M1R,      Cree,0,1996
M1R,      Tagalog (Pilipino),685,1996
M1R,      Ukrainian,45,1996
M1R,      Persian (Farsi),235,1996
M1R,      Korean,155,1996
M1R,      Hungarian,75,1996
M1R,      Tamil,510,1996
M1R,      Gujarati,25,1996
M1R,      Croatian,65,1996
M1R,      Armenian,75,1996
M1R,      Inuktitut (Eskimo),0,1996
M1R,      Hindi,15,1996
M1R,      Urdu,115,1996
M1R,      Japanese,100,1996
M1R,      Russian,10,1996
M1R,      Creoles,10,1996
M1R,      Dutch,0,1996
M1R,      Khmer (Cambodian),0,1996
M1R,      Ojibway,0,1996
M1R,      Romanian,10,1996
M1R,      Czech,0,1996
M1R,      Lao,10,1996
M1R,      Macedonian,270,1996
M1R,      Finnish,0,1996
M1R,      Montagnais-Naskapi,0,1996
M1R,      Hebrew,0,1996
M1R,      Yiddish,0,1996
M1R,      Serbian,10,1996
M1R,      Bengali,10,1996
M1R,      Slovak,20,1996
M1R,      Estonian,55,1996
M1R,      Turkish,35,1996
M1R,      Lithuanian,0,1996
M1R,      Latvian (Lettish),50,1996
M1R,      Micmac,0,1996
M1R,      Slovenian,25,1996
M1R,      Bulgarian,30,1996
M1R,      Serbo-Croatian,10,1996
M1R,      Dakota/Sioux,0,1996
M1R,      South Slave,0,1996
M1R,      Malay-Bahasa,0,1996
M1R,      Maltese,0,1996
M1R,      Blackfoot,0,1996
M1R,      Dogrib,0,1996
M1R,      Danish,0,1996
M1R,      Swedish,0,1996
M1R,      Malayalam,20,1996
M1R,      Thai,0,1996
M1R,      Kurdish,0,1996
M1R,      Pashto,0,1996
M1R,      Flemish,0,1996
M1R,      Chipewyan,0,1996
M1R,      Kutchin-Gwich'in (Loucheux),0,1996
M1R,      Norwegian,0,1996
M1R,      Gaelic languages,0,1996
M1R,      Tlingit,0,1996
M1R,      Other languages,345,1996
M1S,    English,16945,1996
M1S,    French,125,1996
M1S,      Chinese,9950,1996
M1S,      Italian,460,1996
M1S,      Portuguese,95,1996
M1S,      Spanish,190,1996
M1S,      German,20,1996
M1S,      Polish,10,1996
M1S,      Punjabi,220,1996
M1S,      Greek,480,1996
M1S,      Vietnamese,15,1996
M1S,      Arabic,205,1996
M1S,      Cree,0,1996
M1S,      Tagalog (Pilipino),265,1996
M1S,      Ukrainian,75,1996
M1S,      Persian (Farsi),110,1996
M1S,      Korean,140,1996
M1S,      Hungarian,45,1996
M1S,      Tamil,430,1996
M1S,      Gujarati,115,1996
M1S,      Croatian,0,1996
M1S,      Armenian,155,1996
M1S,      Inuktitut (Eskimo),0,1996
M1S,      Hindi,20,1996
M1S,      Urdu,130,1996
M1S,      Japanese,30,1996
M1S,      Russian,20,1996
M1S,      Creoles,0,1996
M1S,      Dutch,0,1996
M1S,      Khmer (Cambodian),0,1996
M1S,      Ojibway,0,1996
M1S,      Romanian,0,1996
M1S,      Czech,25,1996
M1S,      Lao,0,1996
M1S,      Macedonian,55,1996
M1S,      Finnish,35,1996
M1S,      Montagnais-Naskapi,0,1996
