FSA,Language,Count,Year
M1J,Latvian,0,2006
M1J,Lithuanian,0,2006
M1J,Estonian,15,2006
M1J,Finnish,0,2006
M1J,Hungarian,0,2006
M1J,Greek,210,2006
M1J,Armenian,30,2006
M1J,Turkish,25,2006
M1J,Amharic,90,2006
M1J,Arabic,90,2006
M1J,Hebrew,0,2006
M1J,Maltese,0,2006
M1J,Somali,35,2006
M1J,Tigrigna,75,2006
M1J,Bengali,395,2006
M1J,Gujarati,380,2006
M1J,Hindi,165,2006
M1J,Kurdish,25,2006
M1J,Panjabi (Punjabi),245,2006
M1J,Pashto,90,2006
M1J,Persian (Farsi),1005,2006
M1J,Sindhi,25,2006
M1J,Sinhala (Sinhalese),140,2006
M1J,Urdu,1560,2006
M1J,Malayalam,65,2006
M1J,Tamil,2935,2006
M1J,Telugu,30,2006
M1J,Japanese,10,2006
M1J,Korean,50,2006
M1J,Cantonese,120,2006
M1J,"Chinese, n.o.s.",455,2006
M1J,Mandarin,120,2006
M1J,Taiwanese,0,2006
M1J,Lao,0,2006
M1J,Khmer (Cambodian),0,2006
M1J,Vietnamese,100,2006
M1J,Bisayan languages,35,2006
M1J,Ilocano,70,2006
M1J,Malay,25,2006
M1J,"Tagalog (Pilipino, Filipino)",920,2006
M1J,Akan (Twi),35,2006
M1J,Swahili,30,2006
M1J,Creoles,15,2006
M1J,Other languages,360,2006
M1K,Algonquin,0,2006
M1K,Atikamekw,0,2006
M1K,Blackfoot,0,2006
M1K,Carrier,0,2006
M1K,Chilcotin,0,2006
M1K,Chipewyan,0,2006
M1K,Cree,0,2006
M1K,Siouan languages (Dakota/Sioux),0,2006
M1K,Dene,0,2006
M1K,Dogrib,0,2006
M1K,Gitksan,0,2006
M1K,Inuinnaqtun,0,2006
M1K,"Inuktitut, n.i.e.",0,2006
M1K,Kutchin-Gwich'in (Loucheux),0,2006
M1K,Malecite,0,2006
M1K,Mi'kmaq,0,2006
M1K,Mohawk,0,2006
M1K,Montagnais-Naskapi,0,2006
M1K,Nisga'a,0,2006
M1K,North Slave (Hare),0,2006
M1K,Ojibway,0,2006
M1K,Oji-Cree,0,2006
M1K,Shuswap,0,2006
M1K,South Slave,0,2006
M1K,Tlingit,0,2006
M1K,Italian,495,2006
M1K,Portuguese,80,2006
M1K,Romanian,30,2006
M1K,Spanish,335,2006
M1K,Danish,0,2006
M1K,Dutch,0,2006
M1K,Flemish,0,2006
M1K,Frisian,0,2006
M1K,German,40,2006
M1K,Norwegian,0,2006
M1K,Swedish,0,2006
M1K,Yiddish,0,2006
M1K,Bosnian,0,2006
M1K,Bulgarian,80,2006
M1K,Croatian,30,2006
M1K,Czech,15,2006
M1K,Macedonian,405,2006
M1K,Polish,125,2006
M1K,Russian,25,2006
M1K,Serbian,105,2006
M1K,Serbo-Croatian,15,2006
M1K,Slovak,0,2006
M1K,Slovenian,0,2006
M1K,Ukrainian,0,2006
M1K,Latvian,25,2006
M1K,Lithuanian,0,2006
M1K,Estonian,20,2006
M1K,Finnish,10,2006
M1K,Hungarian,35,2006
M1K,Greek,710,2006
M1K,Armenian,45,2006
M1K,Turkish,60,2006
M1K,Amharic,115,2006
M1K,Arabic,195,2006
M1K,Hebrew,10,2006
M1K,Maltese,0,2006
M1K,Somali,120,2006
M1K,Tigrigna,50,2006
M1K,Bengali,830,2006
M1K,Gujarati,260,2006
M1K,Hindi,240,2006
M1K,Kurdish,40,2006
M1K,Panjabi (Punjabi),120,2006
M1K,Pashto,25,2006
M1K,Persian (Farsi),345,2006
M1K,Sindhi,75,2006
M1K,Sinhala (Sinhalese),65,2006
M1K,Urdu,535,2006
M1K,Malayalam,0,2006
M1K,Tamil,2820,2006
M1K,Telugu,95,2006
M1K,Japanese,60,2006
